,genome_id,genome_name,taxon_id,antibiotic,resistant_phenotype,measurement,measurement_sign,measurement_value,measurement_unit,laboratory_typing_method,laboratory_typing_method_version,laboratory_typing_platform,vendor,testing_standard,testing_standard_year,source
91762,562.2256,Escherichia coli H1 strain ECO0134,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
91780,562.22782,Escherichia coli H1 strain ECO0375,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
91839,562.22824,Escherichia coli H31 strain ECO0423,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92135,562.2276,Escherichia coli NA:H14 strain ECO0351,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92184,562.22751,Escherichia coli NA:H18 strain ECO0342,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92203,562.23866,Escherichia coli NA:H18 strain ECO0379,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92232,562.2269,Escherichia coli NA:H19 strain ECO0280,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92271,562.22662,Escherichia coli NA:H2 strain ECO0248,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92290,562.22687,Escherichia coli NA:H2 strain ECO0279,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92367,562.22639,Escherichia coli NA:H30 strain ECO0226,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92386,562.22741,Escherichia coli NA:H30 strain ECO0331,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92405,562.22764,Escherichia coli NA:H30 strain ECO0355,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
92424,562.22792,Escherichia coli NA:H30 strain ECO0389,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92463,562.2278,Escherichia coli NA:H34 strain ECO0374,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92482,562.22582,Escherichia coli NA:H4 strain ECO0157,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92501,562.22791,Escherichia coli NA:H4 strain ECO0388,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92620,562.22599,Escherichia coli NA:H5 strain ECO0175,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92639,562.22675,Escherichia coli NA:H5 strain ECO0264,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92658,562.22743,Escherichia coli NA:H5 strain ECO0333,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92685,562.22503,Escherichia coli NA:H6 strain ECO0076,562.0,cefepime,Resistant,,,,,,,VITEK 2,BioMerieux,,,
92722,562.22757,Escherichia coli NA:H7 strain ECO0348,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92761,562.22464,Escherichia coli O102:H6 strain ECO0038,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92780,562.22562,Escherichia coli O102:H6 strain ECO0137,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92953,562.22522,Escherichia coli O104:H7 strain ECO0096,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92972,562.22809,Escherichia coli O107:H27 strain ECO0408,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
92991,562.22608,Escherichia coli O108:H2 strain ECO0184,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93070,562.22796,Escherichia coli O113:H5 strain ECO0394,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93109,562.2259,Escherichia coli O117:H4 strain ECO0165,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93128,562.22699,Escherichia coli O117:H4 strain ECO0289,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93147,562.22716,Escherichia coli O117:H4 strain ECO0301,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93176,562.22449,Escherichia coli O11:H12 strain ECO0022,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93195,562.22763,Escherichia coli O11:H15 strain ECO0354,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93224,562.22466,Escherichia coli O11:H18 strain ECO0037,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93243,562.2248,Escherichia coli O11:H21 strain ECO0053,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93262,562.22453,Escherichia coli O11:H25 strain ECO0026,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93281,562.22807,Escherichia coli O11:H25 strain ECO0405,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93338,562.22505,Escherichia coli O120:H1 strain ECO0078,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93467,562.22487,Escherichia coli O13/O135:H4 strain ECO0060,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93486,562.22493,Escherichia coli O13/O135:H4 strain ECO0065,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93505,562.2258,Escherichia coli O13/O135:H4 strain ECO0155,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
93524,562.22625,Escherichia coli O13/O135:H4 strain ECO0210,562.0,cefepime,Susceptible,,,,,,,VITEK 2,BioMerieux,,,
