,genome_id,genome_name,taxon_id,genome_status,genome_length,gc_content,contig_l50,contig_n50,chromosomes,plasmids,contigs,patric_cds,refseq_cds,trna,rrnacoarse_consistency,fine_consistency,checkm_completeness,checkm_contamination,genome_qualitydate_created,date_modified
277185,562.2282,Escherichia coli GSK2022,1406819,WGS,4440773,50.95,24.0,61350.0,0.0,0.0,248,4198.0,0.0,80.0,,98.4,99.3,0.0,,2015-03-16T03:17:09.594Z
277342,562.2256,Escherichia coli H1 strain ECO0134,562,WGS,4918656,50.49,8.0,202448.0,,,79,4808.0,,63.0,,99.1,100.0,0.0,,2017-11-29T17:38:12.701Z
277343,562.22782,Escherichia coli H1 strain ECO0375,562,WGS,5111861,50.44,10.0,185303.0,,,113,5084.0,,67.0,,99.0,100.0,0.0,,2017-11-29T18:03:09.052Z
277377,562.22824,Escherichia coli H31 strain ECO0423,562,WGS,4933391,50.44,8.0,196399.0,,,82,4875.0,,62.0,,98.7,100.0,0.7,,2017-11-29T18:04:48.525Z
281521,562.2288,Escherichia coli K2,1392870,WGS,5259799,50.23,19.0,85499.0,0.0,0.0,545,5212.0,0.0,66.0,,99.3,100.0,0.0,,2015-03-16T03:17:09.594Z
284074,562.2276,Escherichia coli NA:H14 strain ECO0351,562,WGS,4720353,50.77,7.0,256239.0,,,47,4641.0,,62.0,,99.0,100.0,0.0,,2017-11-29T18:01:15.040Z
284078,562.22751,Escherichia coli NA:H18 strain ECO0342,562,WGS,5361748,50.64,17.0,102709.0,,,187,5417.0,,68.0,,98.5,100.0,0.0,,2017-11-29T18:03:46.731Z
284079,562.23866,Escherichia coli NA:H18 strain ECO0379,562,WGS,5420388,50.62,17.0,102413.0,,,164,5491.0,,73.0,,98.1,99.6,0.0,,2017-11-29T19:21:45.002Z
284081,562.2269,Escherichia coli NA:H19 strain ECO0280,562,WGS,4811933,50.55,13.0,130354.0,,,109,4729.0,,69.0,,99.2,100.0,0.0,,2017-11-29T17:59:06.040Z
284084,562.22662,Escherichia coli NA:H2 strain ECO0248,562,WGS,5353911,50.53,15.0,130758.0,,,141,5449.0,,69.0,,98.3,99.6,0.0,,2017-11-29T17:58:52.843Z
284085,562.22687,Escherichia coli NA:H2 strain ECO0279,562,WGS,5148227,50.51,15.0,119300.0,,,141,5243.0,,66.0,,98.7,100.0,0.4,,2017-11-29T17:58:16.990Z
284092,562.22639,Escherichia coli NA:H30 strain ECO0226,562,WGS,5192608,50.59,14.0,113878.0,,,147,5173.0,,72.0,,99.0,100.0,0.0,,2017-11-29T17:55:46.259Z
284093,562.22741,Escherichia coli NA:H30 strain ECO0331,562,WGS,5330060,50.32,14.0,128175.0,,,149,5396.0,,71.0,,98.9,100.0,0.0,,2017-11-29T18:03:38.541Z
284094,562.22764,Escherichia coli NA:H30 strain ECO0355,562,WGS,5244016,50.41,14.0,124277.0,,,144,5272.0,,71.0,,98.4,100.0,0.0,,2017-11-29T18:02:55.262Z
284095,562.22792,Escherichia coli NA:H30 strain ECO0389,562,WGS,5147835,50.48,13.0,150221.0,,,116,5099.0,,73.0,,99.0,100.0,0.0,,2017-11-29T18:02:05.959Z
284098,562.2278,Escherichia coli NA:H34 strain ECO0374,562,WGS,4846357,50.72,13.0,143552.0,,,104,4803.0,,60.0,,99.4,100.0,0.0,,2017-11-29T18:02:43.430Z
284099,562.22582,Escherichia coli NA:H4 strain ECO0157,562,WGS,5037737,50.77,12.0,169457.0,,,95,5023.0,,64.0,,98.4,100.0,0.0,,2017-11-29T17:44:48.094Z
284100,562.22791,Escherichia coli NA:H4 strain ECO0388,562,WGS,4883606,50.49,9.0,196211.0,,,64,4840.0,,65.0,,98.9,100.0,0.4,,2017-11-29T18:01:52.642Z
284111,562.22599,Escherichia coli NA:H5 strain ECO0175,562,WGS,4846678,50.5,7.0,241995.0,,,43,4739.0,,67.0,,99.3,100.0,0.0,,2017-11-29T17:45:36.744Z
284112,562.22675,Escherichia coli NA:H5 strain ECO0264,562,WGS,4903109,50.66,10.0,192305.0,,,58,4797.0,,67.0,,99.0,100.0,0.0,,2017-11-29T17:56:44.560Z
284113,562.22743,Escherichia coli NA:H5 strain ECO0333,562,WGS,4879590,50.51,7.0,234809.0,,,73,4819.0,,63.0,,99.3,100.0,0.0,,2017-11-29T18:03:19.666Z
284115,562.22503,Escherichia coli NA:H6 strain ECO0076,562,WGS,5161857,50.42,11.0,164660.0,,,109,5136.0,,69.0,,98.7,100.0,0.0,,2017-11-29T17:28:00.356Z
284118,562.22757,Escherichia coli NA:H7 strain ECO0348,562,WGS,5098453,50.51,27.0,55007.0,,,208,5200.0,,59.0,,97.0,100.0,0.7,,2017-11-29T18:01:09.912Z
284454,562.22464,Escherichia coli O102:H6 strain ECO0038,562,WGS,5250453,50.52,13.0,119418.0,,,147,5242.0,,63.0,,98.8,100.0,0.0,,2017-11-29T16:59:08.951Z
284455,562.22562,Escherichia coli O102:H6 strain ECO0137,562,WGS,5211453,50.61,15.0,94738.0,,,168,5162.0,,72.0,,99.1,100.0,0.0,,2017-11-29T17:37:55.748Z
284573,562.22522,Escherichia coli O104:H7 strain ECO0096,562,WGS,4715562,50.8,7.0,278352.0,,,37,4616.0,,67.0,,98.7,100.0,0.0,,2017-11-29T17:23:46.348Z
284574,562.22809,Escherichia coli O107:H27 strain ECO0408,562,WGS,5003844,50.54,17.0,89281.0,,,119,5049.0,,65.0,,98.6,100.0,0.0,,2017-11-29T18:04:16.694Z
284575,562.22608,Escherichia coli O108:H2 strain ECO0184,562,WGS,4795003,50.68,11.0,164496.0,,,82,4707.0,,68.0,,99.6,100.0,0.0,,2017-11-29T17:51:50.757Z
284653,562.22796,Escherichia coli O113:H5 strain ECO0394,562,WGS,4664453,50.65,8.0,226338.0,,,45,4561.0,,66.0,,98.4,98.2,0.0,,2017-11-29T18:03:49.908Z
284659,562.2259,Escherichia coli O117:H4 strain ECO0165,562,WGS,4829911,50.47,7.0,237597.0,,,53,4724.0,,65.0,,99.3,100.0,0.7,,2017-11-29T17:38:20.524Z
284660,562.22699,Escherichia coli O117:H4 strain ECO0289,562,WGS,5149892,50.38,9.0,221686.0,,,132,5196.0,,68.0,,99.4,100.0,0.4,,2017-11-29T17:58:03.346Z
284661,562.22716,Escherichia coli O117:H4 strain ECO0301,562,WGS,4983647,50.38,8.0,223112.0,,,87,4955.0,,70.0,,99.1,100.0,0.4,,2017-11-29T17:59:53.492Z
284675,562.22449,Escherichia coli O11:H12 strain ECO0022,562,WGS,4869761,50.64,20.0,79807.0,,,131,4828.0,,58.0,,98.7,100.0,0.1,,2017-11-29T16:57:01.554Z
284676,562.22763,Escherichia coli O11:H15 strain ECO0354,562,WGS,4723605,50.64,11.0,152802.0,,,57,4563.0,,71.0,,99.5,100.0,0.0,,2017-11-29T18:01:34.091Z
284678,562.22466,Escherichia coli O11:H18 strain ECO0037,562,WGS,5241758,50.66,14.0,132424.0,,,137,5222.0,,68.0,,98.7,100.0,0.0,,2017-11-29T16:59:06.084Z
284679,562.2248,Escherichia coli O11:H21 strain ECO0053,562,WGS,5086607,50.65,12.0,145605.0,,,123,5149.0,,61.0,,99.3,100.0,0.0,,2017-11-29T17:18:26.402Z
284680,562.22453,Escherichia coli O11:H25 strain ECO0026,562,WGS,4934064,50.41,23.0,69544.0,,,171,4980.0,,68.0,,99.1,100.0,1.5,,2017-11-29T16:57:30.941Z
284681,562.22807,Escherichia coli O11:H25 strain ECO0405,562,WGS,4980463,50.52,10.0,188063.0,,,79,4877.0,,64.0,,98.7,100.0,0.4,,2017-11-29T18:04:11.093Z
284686,562.22505,Escherichia coli O120:H1 strain ECO0078,562,WGS,4958917,50.53,7.0,202447.0,,,49,4841.0,,65.0,,98.7,100.0,0.0,,2017-11-29T17:28:44.401Z
284810,562.22487,Escherichia coli O13/O135:H4 strain ECO0060,562,WGS,4890083,50.44,6.0,299368.0,,,41,4821.0,,66.0,,99.2,100.0,0.4,,2017-11-29T17:19:45.410Z
284811,562.22493,Escherichia coli O13/O135:H4 strain ECO0065,562,WGS,4736874,50.49,6.0,252744.0,,,44,4624.0,,67.0,,99.3,100.0,0.7,,2017-11-29T17:21:44.957Z
284812,562.2258,Escherichia coli O13/O135:H4 strain ECO0155,562,WGS,5031288,50.37,6.0,273500.0,,,45,5012.0,,65.0,,99.1,100.0,0.4,,2017-11-29T17:45:13.872Z
284813,562.22625,Escherichia coli O13/O135:H4 strain ECO0210,562,WGS,4825336,50.53,6.0,264762.0,,,40,4764.0,,69.0,,99.3,100.0,0.4,,2017-11-29T17:52:20.305Z
284814,562.22654,Escherichia coli O13/O135:H4 strain ECO0241,562,WGS,4920636,50.41,5.0,248416.0,,,70,4884.0,,58.0,,99.2,100.0,0.4,,2017-11-29T17:56:15.874Z
284815,562.22667,Escherichia coli O13/O135:H4 strain ECO0255,562,WGS,5067810,50.33,7.0,231256.0,,,80,5074.0,,67.0,,99.1,100.0,0.4,,2017-11-29T17:56:42.105Z
284816,562.22678,Escherichia coli O13/O135:H4 strain ECO0268,562,WGS,4916821,50.45,7.0,193255.0,,,57,4886.0,,67.0,,99.3,100.0,0.4,,2017-11-29T17:58:44.673Z
284817,562.2274,Escherichia coli O13/O135:H4 strain ECO0330,562,WGS,4926129,50.45,6.0,245794.0,,,44,4858.0,,73.0,,99.3,100.0,0.4,,2017-11-29T18:03:17.050Z
284818,562.22795,Escherichia coli O13/O135:H4 strain ECO0393,562,WGS,4757899,50.53,5.0,209623.0,,,46,4669.0,,57.0,,99.3,100.0,0.4,,2017-11-29T18:03:11.428Z
284819,562.22823,Escherichia coli O13/O135:H4 strain ECO0424,562,WGS,4848681,50.5,6.0,245312.0,,,41,4802.0,,63.0,,99.0,100.0,0.4,,2017-11-29T18:05:01.796Z
